Batch 2: L–S range,,,
Company,Description,Stage,Last round
LeapFinance / Leap Scholar,Study-abroad loans + counseling for Indian students,Series E,"$65M, Apr 2024, Owl"
LearnZillion,K-12 curriculum and digital lessons,Acquired,"Weld North, Mar 2022"
Lelekewang 乐乐课堂,"K-12 math micro-lessons, China",n/a,n/a
Letrus,"Portuguese writing assessment, Brazil schools",Series A,n/a
Lingo Live,Workplace language coaching,Acquired,"Hone, 2022"
LingoAce,Online Chinese/English tutoring for kids,Series C,"$160M, Oct 2022, Owl"
Linus,n/a (verify with Owl),n/a,n/a
MasterClass,Celebrity-taught online courses,Growth,"$225M, May 2021, Fidelity"
Maximal Learning,n/a (verify),n/a,n/a
Mighty Networks,Community + course platform for creators,Series B,"$50M, Feb 2024, Owl"
Morressier,Scientific conference/publishing platform,Acquired,n/a
Newsela,News-based K-12 instructional content,Growth,"$100M, Feb 2021, Franklin Templeton"
Noodle (Partners),OPM services for universities,Growth,"$31M, Aug 2023, Fidelity/SuRo"
Novakid,Online English for kids 4-12,Series C,"$35M, Jan 2022, Owl"
Olive,n/a (verify),n/a,n/a
Panorama Education,K-12 student surveys + SEL analytics,Series C,"$60M, Aug 2021, General Atlantic"
ParentSquare,School-to-home comms for K-12,Growth,"Recap by Volition, Oct 2021"
Preply,Online language tutor marketplace,Series C,"$70M, Dec 2022, Horizon"
Quizlet,Study tools + flashcards,Growth,"$30M, Dec 2022, General Atlantic"
Raftr,Campus community/engagement for universities,Seed,n/a
RaiseMe,Micro-scholarship platform,Acquired,"PowerSchool, Jul 2021"
Rebel Girls,Girl-focused stories/app/podcast brand,Acquired,n/a
SV Academy,Tech sales bootcamp + workforce training,Series B,"$17M, May 2022, Owl"
Sanjieke 三节课,Pro-skills courses for Chinese knowledge workers,Series C,"~$14M, 2019"
Batch 3: D–L range,,,
Company,Description,Stage,Last round
DeepHow,AI video training for frontline trades workers,Series A,"$14M, 2022, Conductive Ventures"
Degreed,Enterprise upskilling / LXP,Growth,"$153M Series D, Apr 2021, Riverwood"
Derivita,Online math practice + assessment,Series A,n/a
DeweyLearn,n/a (verify),n/a,n/a
DreamBox Learning,Adaptive K-8 math + reading,Acquired,"Discovery Education, Jun 2023"
Ethiqly,AI writing feedback for secondary students,Seed,n/a
Fiveable,AP test prep + learning community,Series A,"$15.5M, Oct 2021, Owl"
Fizz,Anonymous campus social network,Series B,"$25M, May 2024, NEA"
Futre,n/a (verify),n/a,n/a
Galena,n/a (verify),n/a,n/a
Gather,Virtual HQ / events (pivoted from education),Acquired,n/a
Genially,Interactive content creation platform,Series B,"$20M, Jan 2022, Insight Partners"
Greenlight,Debit card + financial literacy for kids,Series D,"$260M, Apr 2021, $2.3B val"
Hazel Health,Telehealth + mental health for K-12 schools,Series C,"$51.5M, Mar 2022, Bain DI"
Honorlock,Online proctoring for higher ed,Growth,n/a
Hoytrabajas,LatAm blue-collar jobs marketplace,Series A,n/a
Ignite Reading,"1:1 virtual reading tutoring, elementary",Series A,"$10M, 2023"
Imbellus,Game-based cognitive assessment,Acquired,"Roblox, Jan 2020"
Interplay Learning,VR/3D trades training,Series C,"$45M, Mar 2024, TCV"
Jotit,n/a (verify),n/a,n/a
Kiddom,K-12 curriculum + LMS,Series C,"$35M, Apr 2022, Owl"
Kuali,Higher-ed admin software,Acquired,"TA Associates, 2021"
Kyron Learning,"AI conversational tutoring, K-12",Seed,"$14.6M, Mar 2022, Owl"
Labster,"Virtual science labs, HS + university",Series C,"$47M, Feb 2021, a16z"
Batch 4: A–C range,,,
Company,Description,Stage,Last round
ABL Schools,K-12 scheduling/operations software,Acquired,"PowerSchool, 2021"
Accelerate Learning,K-12 STEM curriculum (STEMscopes),Acquired,"Carlyle, 2018"
Amira Learning,AI reading tutor for K-5,Series B,"~$25M, 2022, Owl"
AnswersNow,Virtual ABA therapy for autism families,Series B,"~$19M, 2024"
Apna,India blue-collar jobs platform,Series C,"$100M, Sep 2021, Tiger Global, $1.1B val"
Authentica Solutions,K-12 data interoperability platform,n/a,n/a
Authoritive,n/a (verify),Acquired,n/a
Bakpax,AI assignment grading,Acquired,n/a
BenchPrep,Corporate test prep / learning platform,Growth,n/a
BetterLesson,Teacher professional development,Growth,n/a
Bling!,n/a (verify),n/a,n/a
BorderPlus,Cross-border healthcare workforce mobility,Seed,n/a
Brisk Teaching,AI Chrome extension for teachers,Series A,"~$15M, 2024"
Class Technologies,Virtual classroom built on Zoom,Series B,"$105M, Sep 2021, Softbank"
Classplus,India SaaS for tutors/creators,Series D,"$70M, 2022, Tiger/Alpha Wave"
Cloudforce,Microsoft services partner for education,n/a,n/a
Coala,n/a (verify),n/a,n/a
Codecademy,Online coding courses,Acquired,"Skillsoft, $525M, Dec 2021"
,,,
I'll push the S–W batch to you the moment batch 1 finishes.,,,
1 step,,,
1 step,,,
,,,
Batch 1 is in. Here's the final piece:,,,
Batch 1: S–W range,,,
Company,Description,Stage,Last round
Schemata,Early/stealth edtech,Seed,"$5M seed, May 2025 (a16z, Owl, Alumni Ventures)"
Securly,Student safety + classroom management for K-12,PE-owned,"Golden Gate Capital, 2021"
Sizzle,"AI tutoring app, all subjects",Acquired,"Campus, Oct 2025"
Smalt,Green-trades workforce talent + training,Seed,n/a
Speechify,Text-to-speech reading/accessibility,Growth,"$10M at $100M val, Jan 2024"
SplashLearn,Gamified math/reading PreK-G5,Series C,"$18M Series C, 2021, Owl"
Starbridge,GTM intelligence for gov/ed sellers,Series A,"$42M, Oct 2025, Craft Ventures"
STASH,Investing + financial literacy app,Growth,"$125M Series G, 2021"
StudyFetch,AI study tools + tutor,Series A,"$10M, May 2025"
Subject,Accredited digital high-school courses,Series A,"$29.4M, Mar 2022, Owl"
Swing Education,Substitute teacher marketplace,Series C,"$38M, Jun 2023, Apax + Reach"
Thinkful,Online coding bootcamp,Acquired,"Chegg, $80M, Sep 2019"
Thrive Global,B2B behavior change + wellbeing,Growth,n/a
Thunkable,No-code mobile app builder,Series B,"$30M, Feb 2022, Owl"
Tinkergarten,Play-based outdoor classes for young kids,Acquired,"Highlights for Children, 2022"
ubiMaster,"On-demand tutoring, DACH region",Series A,"EUR 7M, 2024, Owl + Bayern Kapital"
UBITS,"B2B corporate training, LatAm",Series B,"$25M, Jan 2022, Riverwood"
uLesson,Affordable K-12 learning across Africa,Series B,"$15M, Dec 2021, Nielsen + Tencent"
Untapped,Diversity + early-career recruiting,Acquired,"Podium Education, Feb 2024"
Vaia (StudySmarter),"AI study app, HS + university",Series B,"~EUR 13.7M extension, Goodwater"
Welcome Tech,Financial + workforce platform for immigrants,Growth,"$7.5M, Aug 2025"
WhiteHat Jr,"Kids coding, live online",Acquired,"Byju's, $300M, Aug 2020"